N_formulas,samples,batch_size,kernel_time_mean,kernel_time_std,transformer_time_mean,speedup
5000,2000,128,2.9113592306772866,0.0005329418566253174,15.362078030904135,0.18951597725388838
5000,2000,256,2.9113592306772866,0.0005329418566253174,15.400320053100586,0.1890453718259664
5000,2000,512,2.9113592306772866,0.0005329418566253174,15.528892358144125,0.18748016043465102
5000,2000,1024,2.9113592306772866,0.0005329418566253174,15.618491172790527,0.18640464040145302
5000,3000,1,3.1901443004608154,0.0007724367777260557,41.34397220611572,0.07716104985163762
5000,3000,8,3.1901443004608154,0.0007724367777260557,17.668609380722046,0.18055435103690357
5000,3000,16,3.1901443004608154,0.0007724367777260557,16.52653972307841,0.19303159366179679
5000,3000,32,3.1901443004608154,0.0007724367777260557,15.826879183451334,0.20156496195386686
5000,3000,64,3.1901443004608154,0.0007724367777260557,15.45264458656311,0.20644649416416488
5000,3000,128,3.1901443004608154,0.0007724367777260557,15.362078030904135,0.20766359173824997
5000,3000,256,3.1901443004608154,0.0007724367777260557,15.400320053100586,0.207147922215976
5000,3000,512,3.1901443004608154,0.0007724367777260557,15.528892358144125,0.20543282977859942
5000,3000,1024,3.1901443004608154,0.0007724367777260557,15.618491172790527,0.2042543204185093
5000,4000,1,3.746580203374227,0.0011363642490560604,41.34397220611572,0.09061974463160126
5000,4000,8,3.746580203374227,0.0011363642490560604,17.668609380722046,0.21204725978390038
5000,4000,16,3.746580203374227,0.0011363642490560604,16.52653972307841,0.22670082583242349
5000,4000,32,3.746580203374227,0.0011363642490560604,15.826879183451334,0.23672261346960116
5000,4000,64,3.746580203374227,0.0011363642490560604,15.45264458656311,0.2424555992591764
5000,4000,128,3.746580203374227,0.0011363642490560604,15.362078030904135,0.2438849871636619
5000,4000,256,3.746580203374227,0.0011363642490560604,15.400320053100586,0.24327937279588668
5000,4000,512,3.746580203374227,0.0011363642490560604,15.528892358144125,0.2412651280572071
5000,4000,1024,3.746580203374227,0.0011363642490560604,15.618491172790527,0.23988105905526036
